epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6407,0.99465,1.98144,1.05174,0.98348,1,0.995,0.81253,0.71716,2.56399,0.81143,0.00065,0.00065,0.00065
2,21.4482,0.79424,1.17201,0.92187,0.99291,0.87538,0.99105,0.57061,1.01063,2.35766,0.96154,0.00131341,0.00131341,0.00131341
3,30.0945,0.79314,0.98634,0.9415,0.95378,0.9875,0.99219,0.76273,0.85524,1.43642,1.11289,0.00197352,0.00197352,0.00197352
4,38.6523,0.77432,0.87065,0.93079,0.99899,1,0.995,0.77247,0.76241,1.25573,0.98646,0.00198515,0.00198515,0.00198515
5,47.2809,0.75029,0.76578,0.92521,0.09065,0.375,0.05019,0.03398,1.59178,21.6653,1.7284,0.0019802,0.0019802,0.0019802
6,55.8552,0.73637,0.69556,0.90143,1,0.99987,0.995,0.87368,0.61568,0.71922,0.9459,0.00197525,0.00197525,0.00197525
7,64.5114,0.68327,0.60555,0.90034,0.94559,1,0.99394,0.82278,0.63328,0.88436,0.93199,0.0019703,0.0019703,0.0019703
8,73.0917,0.60053,0.53552,0.8758,0.99902,1,0.995,0.88868,0.55047,0.5332,0.87505,0.00196535,0.00196535,0.00196535
9,81.7794,0.57141,0.49825,0.86809,0.99948,1,0.995,0.8919,0.5182,0.4422,0.85283,0.0019604,0.0019604,0.0019604
10,90.3821,0.58716,0.46871,0.87918,0.99937,1,0.995,0.84924,0.55248,0.47034,0.91156,0.00195545,0.00195545,0.00195545
11,98.9633,0.61074,0.47483,0.89516,0.99946,1,0.995,0.9183,0.5165,0.47332,0.89854,0.0019505,0.0019505,0.0019505
12,107.636,0.59886,0.47186,0.89662,0.00162,0.3875,0.02504,0.00284,4.23411,3.16542,2.94746,0.00194555,0.00194555,0.00194555
13,116.263,0.56979,0.45011,0.88713,0.99947,1,0.995,0.84807,0.60276,0.42114,0.85896,0.0019406,0.0019406,0.0019406
14,124.762,0.56874,0.43408,0.88619,0.99957,1,0.995,0.92515,0.45647,0.36579,0.84438,0.00193565,0.00193565,0.00193565
15,133.283,0.54578,0.40602,0.8666,0.9983,1,0.995,0.93011,0.41009,0.37338,0.86715,0.0019307,0.0019307,0.0019307
16,141.83,0.52174,0.39391,0.86263,0.99964,1,0.995,0.92669,0.47797,0.35014,0.84904,0.00192575,0.00192575,0.00192575
